date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:25	74690/74690	---MCZ	200	added ('OK')	text/html	etag:%2260b90c812990a3f067d080bbb9df14ef-ssl-df%22	https://zoyothemes.com/tapeli/html/ecommerce	zoyothemes.com/tapeli/html/ecommerce.html	(from https://zoyothemes.com/tapeli/html/)
18:03:32	10565/10565	---MCZ	200	added ('OK')	text/html	etag:%226539611c16b36259d0a4456c47706aac-ssl-df%22	https://zoyothemes.com/tapeli/html/auth-login	zoyothemes.com/tapeli/html/auth-login.html	(from https://zoyothemes.com/tapeli/html/)
18:03:36	10728/10728	---MCZ	200	added ('OK')	text/html	etag:%22ef6c419fb10f416070ef5190fb80ca24-ssl-df%22	https://zoyothemes.com/tapeli/html/auth-register	zoyothemes.com/tapeli/html/auth-register.html	(from https://zoyothemes.com/tapeli/html/)
18:03:39	4562/4562	---MCZ	200	added ('OK')	text/html	etag:%229ec613816a5a370e790d6b583e454cd9-ssl-df%22	https://zoyothemes.com/tapeli/html/auth-recoverpw	zoyothemes.com/tapeli/html/auth-recoverpw.html	(from https://zoyothemes.com/tapeli/html/)
18:03:43	4107/4107	---MCZ	200	added ('OK')	text/html	etag:%2205389a303bb6cc16e4e496b839e8b885-ssl-df%22	https://zoyothemes.com/tapeli/html/auth-confirm-mail	zoyothemes.com/tapeli/html/auth-confirm-mail.html	(from https://zoyothemes.com/tapeli/html/)
18:03:48	4297/4297	---MCZ	200	added ('OK')	text/html	etag:%223174a464563f3e520711060e91e3d1a2-ssl-df%22	https://zoyothemes.com/tapeli/html/email-verification	zoyothemes.com/tapeli/html/email-verification.html	(from https://zoyothemes.com/tapeli/html/)
18:03:53	3034/3034	---M-Z	200	added ('OK')	text/html	etag:%22c19de8d2c68bb734f39647e1ae28761c-ssl-df%22	https://zoyothemes.com/tapeli/html/error-404	zoyothemes.com/tapeli/html/error-404.html	(from https://zoyothemes.com/tapeli/html/)
18:03:55	2890/2890	---M-Z	200	added ('OK')	text/html	etag:%224fc0cd6619c4ee1dbfd234aab0214916-ssl-df%22	https://zoyothemes.com/tapeli/html/error-500	zoyothemes.com/tapeli/html/error-500.html	(from https://zoyothemes.com/tapeli/html/)
18:03:57	2883/2883	---MCZ	200	added ('OK')	text/html	etag:%2292c7fe97dc34af9caaed5510e37873c0-ssl-df%22	https://zoyothemes.com/tapeli/html/error-503	zoyothemes.com/tapeli/html/error-503.html	(from https://zoyothemes.com/tapeli/html/)
18:03:58	3032/3032	---M-Z	200	added ('OK')	text/html	etag:%224c2fc4b1a5450a3b56048d705af6c7d1-ssl-df%22	https://zoyothemes.com/tapeli/html/error-429	zoyothemes.com/tapeli/html/error-429.html	(from https://zoyothemes.com/tapeli/html/)
18:03:59	2937/2937	---MCZ	200	added ('OK')	text/html	etag:%22a663d2b04b8cc8239ac6e92a8ed8ff42-ssl-df%22	https://zoyothemes.com/tapeli/html/offline-page	zoyothemes.com/tapeli/html/offline-page.html	(from https://zoyothemes.com/tapeli/html/)
18:04:01	41394/41394	---MCZ	200	added ('OK')	text/html	etag:%22fddc9eb5526c6e19d6516569751276d8-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-starter	zoyothemes.com/tapeli/html/pages-starter.html	(from https://zoyothemes.com/tapeli/html/)
18:04:02	50707/50707	---MCZ	200	added ('OK')	text/html	etag:%22890ee557c14e43c3d50864a4c0a15d8b-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-pricing	zoyothemes.com/tapeli/html/pages-pricing.html	(from https://zoyothemes.com/tapeli/html/)
18:04:03	51555/51555	---MCZ	200	added ('OK')	text/html	etag:%224fbf48eb0b2827a3df1c40e38dfa23a2-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-timeline	zoyothemes.com/tapeli/html/pages-timeline.html	(from https://zoyothemes.com/tapeli/html/)
18:04:04	48068/48068	---MCZ	200	added ('OK')	text/html	etag:%226198dae11c88848e20b75892f939eb41-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-invoice	zoyothemes.com/tapeli/html/pages-invoice.html	(from https://zoyothemes.com/tapeli/html/)
18:04:06	59331/59331	---MCZ	200	added ('OK')	text/html	etag:%22b5cd216ba4b8013b108439b4dfbef9ae-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-faqs	zoyothemes.com/tapeli/html/pages-faqs.html	(from https://zoyothemes.com/tapeli/html/)
18:04:07	48627/48627	---MCZ	200	added ('OK')	text/html	etag:%22819dfd759b29e3c0cdd5488e3545b2a9-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-gallery	zoyothemes.com/tapeli/html/pages-gallery.html	(from https://zoyothemes.com/tapeli/html/)
18:04:09	3916/3916	---MCZ	200	added ('OK')	text/html	etag:%226f50b4f6438bd38bec158b2411ab3ca4-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-maintenance	zoyothemes.com/tapeli/html/pages-maintenance.html	(from https://zoyothemes.com/tapeli/html/)
18:04:10	4000/4000	---MCZ	200	added ('OK')	text/html	etag:%228d78e499a3935fdf76ffd640179e6df0-ssl-df%22	https://zoyothemes.com/tapeli/html/pages-coming-soon	zoyothemes.com/tapeli/html/pages-coming-soon.html	(from https://zoyothemes.com/tapeli/html/)
18:04:11	42314/42314	---MCZ	200	added ('OK')	text/html	etag:%221f18f403a0850f6d0b05b35215319634-ssl-df%22	https://zoyothemes.com/tapeli/html/calendar	zoyothemes.com/tapeli/html/calendar.html	(from https://zoyothemes.com/tapeli/html/)
18:04:13	56119/56119	---MCZ	200	added ('OK')	text/html	etag:%22cd5c43b81d2021fc6da3c2f5287e8cf6-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-accordions	zoyothemes.com/tapeli/html/ui-accordions.html	(from https://zoyothemes.com/tapeli/html/)
18:04:15	55719/55719	---MCZ	200	added ('OK')	text/html	etag:%224e1e96a5f98d8b12f6ad0d952c871a4f-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-alerts	zoyothemes.com/tapeli/html/ui-alerts.html	(from https://zoyothemes.com/tapeli/html/)
18:04:18	48552/48552	---MCZ	200	added ('OK')	text/html	etag:%22e3331e50596299f9ddf0e6ba9f942e12-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-badges	zoyothemes.com/tapeli/html/ui-badges.html	(from https://zoyothemes.com/tapeli/html/)
18:04:19	45888/45888	---MCZ	200	added ('OK')	text/html	etag:%2213d6a006d0ebfd10b2f9a563b7aa19db-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-breadcrumb	zoyothemes.com/tapeli/html/ui-breadcrumb.html	(from https://zoyothemes.com/tapeli/html/)
18:04:21	78536/78536	---MCZ	200	added ('OK')	text/html	etag:%22ce896e077565337116008070b1a0cce4-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-buttons	zoyothemes.com/tapeli/html/ui-buttons.html	(from https://zoyothemes.com/tapeli/html/)
18:04:22	94630/94630	---MCZ	200	added ('OK')	text/html	etag:%224d71d39c31073a5c1029db62b830a497-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-cards	zoyothemes.com/tapeli/html/ui-cards.html	(from https://zoyothemes.com/tapeli/html/)
18:04:23	48120/48120	---MCZ	200	added ('OK')	text/html	etag:%222698b83cf4a5e660bbdbf22fad1cd8d4-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-collapse	zoyothemes.com/tapeli/html/ui-collapse.html	(from https://zoyothemes.com/tapeli/html/)
18:04:26	103258/103258	---MCZ	200	added ('OK')	text/html	etag:%22a9f3f8d7a1f85072ed24345e90129888-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-dropdowns	zoyothemes.com/tapeli/html/ui-dropdowns.html	(from https://zoyothemes.com/tapeli/html/)
18:04:27	45079/45079	---MCZ	200	added ('OK')	text/html	etag:%2277909a57c4381d1acd80771b42cc277e-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-video	zoyothemes.com/tapeli/html/ui-video.html	(from https://zoyothemes.com/tapeli/html/)
18:04:28	74032/74032	---MCZ	200	added ('OK')	text/html	etag:%220836e17c6d10e7e005c5a92ca5b57e1c-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-grid	zoyothemes.com/tapeli/html/ui-grid.html	(from https://zoyothemes.com/tapeli/html/)
18:04:30	60871/60871	---MCZ	200	added ('OK')	text/html	etag:%223d34bcdf26ec5895057845d8af661c1a-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-images	zoyothemes.com/tapeli/html/ui-images.html	(from https://zoyothemes.com/tapeli/html/)
18:04:31	65417/65417	---MCZ	200	added ('OK')	text/html	etag:%22d96e769b8c676b190db38890a9f43956-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-list	zoyothemes.com/tapeli/html/ui-list.html	(from https://zoyothemes.com/tapeli/html/)
18:04:32	97356/97356	---MCZ	200	added ('OK')	text/html	etag:%22bd56e8345634bab0732f6930736ab6b0-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-modals	zoyothemes.com/tapeli/html/ui-modals.html	(from https://zoyothemes.com/tapeli/html/)
18:04:34	51607/51607	---MCZ	200	added ('OK')	text/html	etag:%227026e35aaa6c481a9c64e62619272ecf-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-placeholders	zoyothemes.com/tapeli/html/ui-placeholders.html	(from https://zoyothemes.com/tapeli/html/)
18:04:36	53753/53753	---MCZ	200	added ('OK')	text/html	etag:%2288f0bf5fa49c760327faaaf51c89f123-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-pagination	zoyothemes.com/tapeli/html/ui-pagination.html	(from https://zoyothemes.com/tapeli/html/)
18:04:38	49911/49911	---MCZ	200	added ('OK')	text/html	etag:%221eaac1f947817f738bff866836ebd85a-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-popovers	zoyothemes.com/tapeli/html/ui-popovers.html	(from https://zoyothemes.com/tapeli/html/)
18:04:39	55803/55803	---MCZ	200	added ('OK')	text/html	etag:%2228dcab265a566c7f55ea2ceda2e8b054-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-progress	zoyothemes.com/tapeli/html/ui-progress.html	(from https://zoyothemes.com/tapeli/html/)
18:04:40	65535/65535	---MCZ	200	added ('OK')	text/html	etag:%22b9e45dc4b08efed272552e0919d9bc5c-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-scrollspy	zoyothemes.com/tapeli/html/ui-scrollspy.html	(from https://zoyothemes.com/tapeli/html/)
18:04:41	55729/55729	---MCZ	200	added ('OK')	text/html	etag:%22bb102c76ca247f45b8d273e59de80d07-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-spinners	zoyothemes.com/tapeli/html/ui-spinners.html	(from https://zoyothemes.com/tapeli/html/)
18:04:42	73422/73422	---MCZ	200	added ('OK')	text/html	etag:%224163a44ede98b2059a095b3acd45956d-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-tabs	zoyothemes.com/tapeli/html/ui-tabs.html	(from https://zoyothemes.com/tapeli/html/)
18:04:44	48126/48126	---MCZ	200	added ('OK')	text/html	etag:%2297af2e40431a354ae377a21e3be5f984-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-tooltips	zoyothemes.com/tapeli/html/ui-tooltips.html	(from https://zoyothemes.com/tapeli/html/)
18:04:45	58959/58959	---MCZ	200	added ('OK')	text/html	etag:%22f35dfa486fb7be968922518ce8ebd2ee-ssl-df%22	https://zoyothemes.com/tapeli/html/ui-typography	zoyothemes.com/tapeli/html/ui-typography.html	(from https://zoyothemes.com/tapeli/html/)
18:04:47	107320/107320	---MCZ	200	added ('OK')	text/html	etag:%22c1110afc833b042ec53d019323821a31-ssl-df%22	https://zoyothemes.com/tapeli/html/widgets	zoyothemes.com/tapeli/html/widgets.html	(from https://zoyothemes.com/tapeli/html/)
18:04:48	62189/62189	---MCZ	200	added ('OK')	text/html	etag:%223b9418a1c3f41d50830f7609eb2bbe85-ssl-df%22	https://zoyothemes.com/tapeli/html/extended-carousel	zoyothemes.com/tapeli/html/extended-carousel.html	(from https://zoyothemes.com/tapeli/html/)
